date,christmas_holidays,sport_holidays,spring_holidays,summer_holidays,autumn_holidays,weekend,public_holiday,bridge,week_day,month,week_day_label,wind_speed,temperature,cloud_cover,humidity
2015-01-01,1,0,0,0,0,0,2,0,5,1,Thursday,6.12,2.28,0.04,0.56
2015-02-01,1,0,0,0,0,0,0,0,6,1,Friday,6.83,15.2,0.34,0.61
2015-03-01,1,0,0,0,0,1,0,0,7,1,Saturday,1.01,27.445,0.37,0.7
2015-04-01,1,0,0,0,0,1,0,0,1,1,Sunday,0.73,31.91,0.99,0.9
2015-05-01,0,0,0,0,0,0,0,0,2,1,Monday,5.82,13.595,0.76,0.85
2015-06-01,0,0,0,0,0,0,0,0,3,1,Tuesday,4.63,-2.69,0.51,0.71
2015-07-01,0,0,0,0,0,0,0,0,4,1,Wednesday,5.0,1.92,0.66,0.77
2015-08-01,0,0,0,0,0,0,0,0,5,1,Thursday,7.62,-9.935,0.07,0.62
2015-09-01,0,0,0,0,0,0,0,0,6,1,Friday,7.27,-5.825,0.71,0.77
2015-10-01,0,0,0,0,0,1,0,0,7,1,Saturday,7.77,-4.225,0.49,0.69
2015-11-01,0,0,0,0,0,1,0,0,1,1,Sunday,5.32,4.165,0.46,0.7
2015-12-01,0,0,0,0,0,0,0,0,2,1,Monday,4.34,23.595,0.9,0.72
2015-01-13,0,0,0,0,0,0,0,0,3,1,Tuesday,5.84,19.475,0.84,0.76
2015-01-14,0,0,0,0,0,0,0,0,4,1,Wednesday,3.09,14.73,0.59,0.74
2015-01-15,0,0,0,0,0,0,0,0,5,1,Thursday,2.82,11.485,0.63,0.78
2015-01-16,0,0,0,0,0,0,0,0,6,1,Friday,4.68,20.97,0.45,0.76
2015-01-17,0,0,0,0,0,1,0,0,7,1,Saturday,1.16,28.575,0.46,0.8
2015-01-18,0,0,0,0,0,1,0,0,1,1,Sunday,6.78,31.455,0.56,0.76
2015-01-19,0,0,0,0,0,0,1,0,2,1,Monday,5.01,33.73,0.6,0.77
2015-01-20,0,0,0,0,0,0,0,0,3,1,Tuesday,0.67,33.64,0.49,0.83
2015-01-21,0,0,0,0,0,0,0,0,4,1,Wednesday,1.81,32.705,0.93,0.89
2015-01-22,0,0,0,0,0,0,0,0,5,1,Thursday,3.35,30.23,1.0,0.86
2015-01-23,0,0,0,0,0,0,0,0,6,1,Friday,2.52,28.78,1.0,0.76
2015-01-24,0,0,0,0,0,1,0,0,7,1,Saturday,5.22,25.915,0.9,0.78
2015-01-25,0,0,0,0,0,1,0,0,1,1,Sunday,3.64,32.555,0.81,0.8
2015-01-26,0,0,0,0,0,0,0,0,2,1,Monday,7.09,25.315,0.94,0.85
2015-01-27,0,0,0,0,0,0,0,0,3,1,Tuesday,0.9,22.79,0.82,0.79
